first_name,last_name,bbr_url,image_url
Kevin,Huerter,https://www.basketball-reference.com/players/h/huertke01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/huertke01.jpg
Jay,Huff,https://www.basketball-reference.com/players/h/huffja01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/huffja01.jpg
Ariel,Hukporti,https://www.basketball-reference.com/players/h/hukpoar01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hukpoar01.jpg
De'Andre,Hunter,https://www.basketball-reference.com/players/h/huntede01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/huntede01.jpg
Bones,Hyland,https://www.basketball-reference.com/players/h/hylanbo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hylanbo01.jpg
Oso,Ighodaro,https://www.basketball-reference.com/players/i/ighodos01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/ighodos01.jpg
Joe,Ingles,https://www.basketball-reference.com/players/i/inglejo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/inglejo01.jpg
Brandon,Ingram,https://www.basketball-reference.com/players/i/ingrabr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/ingrabr01.jpg
Harrison,Ingram,https://www.basketball-reference.com/players/i/ingraha01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/ingraha01.jpg
Kyrie,Irving,https://www.basketball-reference.com/players/i/irvinky01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/irvinky01.jpg
Jonathan,Isaac,https://www.basketball-reference.com/players/i/isaacjo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/isaacjo01.jpg
Jaden,Ivey,https://www.basketball-reference.com/players/i/iveyja01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/iveyja01.jpg
Andre,Jackson Jr.,https://www.basketball-reference.com/players/j/jacksan01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jacksan01.jpg
GG,Jackson II,https://www.basketball-reference.com/players/j/jacksgg01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jacksgg01.jpg
Isaiah,Jackson,https://www.basketball-reference.com/players/j/jacksis01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jacksis01.jpg
Jaren,Jackson Jr.,https://www.basketball-reference.com/players/j/jacksja02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jacksja02.jpg
Quenton,Jackson,https://www.basketball-reference.com/players/j/jacksqu01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jacksqu01.jpg
Reggie,Jackson,https://www.basketball-reference.com/players/j/jacksre01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jacksre01.jpg
Trayce,Jackson-Davis,https://www.basketball-reference.com/players/j/jackstr02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jackstr02.jpg
Kasparas,Jakucionis,https://www.basketball-reference.com/players/j/jakucka01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jakucka01.jpg
Bronny,James,https://www.basketball-reference.com/players/j/jamesbr02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/jamesbr02.jpg
